Test (2B): leader backs up quickly over incorrect follower logs ...
2024/03/04 22:12:54 004164 VOTE Server 1 started election for term 1
2024/03/04 22:12:54 004192 VOTE Server 2 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
2024/03/04 22:12:54 004193 INFO Server 2 demoted to follower
2024/03/04 22:12:54 004195 VOTE Server 2 voted for 1
2024/03/04 22:12:54 004195 VOTE Server 0 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
2024/03/04 22:12:54 004196 VOTE Server 4 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
2024/03/04 22:12:54 004196 VOTE Server 3 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
2024/03/04 22:12:54 004196 INFO Server 0 demoted to follower
2024/03/04 22:12:54 004197 INFO Server 4 demoted to follower
2024/03/04 22:12:54 004197 INFO Server 3 demoted to follower
2024/03/04 22:12:54 004199 VOTE Server 0 voted for 1
2024/03/04 22:12:54 004200 VOTE Server 4 voted for 1
2024/03/04 22:12:54 004200 VOTE Server 3 voted for 1
2024/03/04 22:12:54 004205 INFO Server 1 promoted to leader
2024/03/04 22:12:54 004207 APND Server 1 sending appendEntries to 4 | nextIndex: 1, logLength: 1
2024/03/04 22:12:54 004207 APND Server 1 sending appendEntries to 2 | nextIndex: 1, logLength: 1
2024/03/04 22:12:54 004209 APND Server 1 sending appendEntries to 0 | nextIndex: 1, logLength: 1
2024/03/04 22:12:54 004211 APND Server 1 sending appendEntries to 3 | nextIndex: 1, logLength: 1
2024/03/04 22:12:54 004216 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 22:12:54 004217 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 22:12:54 004217 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 22:12:54 004218 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 22:12:54 004599 LOG1 Server 1 received command 9067245982895722979 | term: 1, index: 1
2024/03/04 22:12:54 005052 APND Server 1 sending appendEntries to 4 | nextIndex: 1, logLength: 2
2024/03/04 22:12:54 005054 APND Server 1 sending appendEntries to 0 | nextIndex: 1, logLength: 2
2024/03/04 22:12:54 005057 APND Server 1 sending appendEntries to 2 | nextIndex: 1, logLength: 2
2024/03/04 22:12:54 005059 APND Server 1 sending appendEntries to 3 | nextIndex: 1, logLength: 2
2024/03/04 22:12:54 005067 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
2024/03/04 22:12:54 005068 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
2024/03/04 22:12:54 005070 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
2024/03/04 22:12:54 005073 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
2024/03/04 22:12:54 005208 CMIT Server 1 applied command 9067245982895722979 | term: 1, index: 1
2024/03/04 22:12:54 006063 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 006065 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 006068 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 006072 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 006073 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 006081 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 006082 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 006090 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 006171 CMIT Server 3 applied command 9067245982895722979 | term: 1, index: 1
2024/03/04 22:12:54 006172 CMIT Server 0 applied command 9067245982895722979 | term: 1, index: 1
2024/03/04 22:12:54 006172 CMIT Server 4 applied command 9067245982895722979 | term: 1, index: 1
2024/03/04 22:12:54 006173 CMIT Server 2 applied command 9067245982895722979 | term: 1, index: 1
2024/03/04 22:12:54 007077 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 007079 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 007081 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 007085 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 007087 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 007090 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 007091 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 007092 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 008079 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 008080 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 008082 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 008083 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 008091 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 008092 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 008093 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 008095 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 009093 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 009095 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 009097 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 009101 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 009104 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 009107 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 009109 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 009110 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 010094 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 010096 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 010099 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 010101 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 010103 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 010106 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 010107 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 010111 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 011104 APND Server 1 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 011105 APND Server 1 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 011106 APND Server 1 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 011108 APND Server 1 sending appendEntries to 0 | nextIndex: 2, logLength: 2
2024/03/04 22:12:54 011109 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 011111 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 011111 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 011113 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 22:12:54 011459 XXXXXXXX BREAKPOINT 1, servers: 1 2
2024/03/04 22:12:54 011459 LOG1 Server 1 received command 1295005875388771128 | term: 1, index: 2
2024/03/04 22:12:54 011461 LOG1 Server 1 received command 1291207611670201748 | term: 1, index: 3
2024/03/04 22:12:54 011462 LOG1 Server 1 received command 1235846471838882820 | term: 1, index: 4
2024/03/04 22:12:54 011463 LOG1 Server 1 received command 2283074487940257703 | term: 1, index: 5
