Test (2B): leader backs up quickly over incorrect follower logs ...
2024/03/04 23:24:47 003644 VOTE Server 0 started election for term 1`
2024/03/04 23:24:47 003669 VOTE Server 1 received requestVote | term: 1, candidateId: 0, lastLogIndex: 0, lastLogTerm: 0
2024/03/04 23:24:47 003669 VOTE Server 2 received requestVote | term: 1, candidateId: 0, lastLogIndex: 0, lastLogTerm: 0
2024/03/04 23:24:47 003670 INFO Server 1 demoted to follower
2024/03/04 23:24:47 003670 INFO Server 2 demoted to follower
2024/03/04 23:24:47 003669 VOTE Server 4 received requestVote | term: 1, candidateId: 0, lastLogIndex: 0, lastLogTerm: 0
2024/03/04 23:24:47 003669 VOTE Server 3 received requestVote | term: 1, candidateId: 0, lastLogIndex: 0, lastLogTerm: 0
2024/03/04 23:24:47 003672 VOTE Server 2 voted for 0 .... 0 ..... 0 ..... 0 ..... 1
2024/03/04 23:24:47 003673 VOTE Server 1 voted for 0 .... 0 ..... 0 ..... 0 ..... 1
2024/03/04 23:24:47 003673 INFO Server 3 demoted to follower
2024/03/04 23:24:47 003672 INFO Server 4 demoted to follower
2024/03/04 23:24:47 003676 VOTE Server 3 voted for 0 .... 0 ..... 0 ..... 0 ..... 1
2024/03/04 23:24:47 003677 VOTE Server 4 voted for 0 .... 0 ..... 0 ..... 0 ..... 1
2024/03/04 23:24:47 003681 INFO Server 0 promoted to leader
2024/03/04 23:24:47 003683 APND Server 0 sending appendEntries to 4 | nextIndex: 1, logLength: 1
2024/03/04 23:24:47 003685 APND Server 0 sending appendEntries to 2 | nextIndex: 1, logLength: 1
2024/03/04 23:24:47 003691 APND Server 0 sending appendEntries to 3 | nextIndex: 1, logLength: 1
2024/03/04 23:24:47 003692 APND Server 0 sending appendEntries to 1 | nextIndex: 1, logLength: 1
2024/03/04 23:24:47 003698 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 23:24:47 003699 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 23:24:47 003700 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 23:24:47 003700 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 23:24:47 004045 APND Server 0 sending appendEntries to 4 | nextIndex: 1, logLength: 1
2024/03/04 23:24:47 004047 APND Server 0 sending appendEntries to 1 | nextIndex: 1, logLength: 1
2024/03/04 23:24:47 004050 APND Server 0 sending appendEntries to 2 | nextIndex: 1, logLength: 1
2024/03/04 23:24:47 004053 APND Server 0 sending appendEntries to 3 | nextIndex: 1, logLength: 1
2024/03/04 23:24:47 004053 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 23:24:47 004058 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 23:24:47 004061 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 23:24:47 004064 LOG1 Server 0 received command 4196946803252004301 | term: 1, index: 1
2024/03/04 23:24:47 004065 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
2024/03/04 23:24:47 005061 APND Server 0 sending appendEntries to 3 | nextIndex: 1, logLength: 2
2024/03/04 23:24:47 005062 APND Server 0 sending appendEntries to 1 | nextIndex: 1, logLength: 2
2024/03/04 23:24:47 005064 APND Server 0 sending appendEntries to 4 | nextIndex: 1, logLength: 2
2024/03/04 23:24:47 005065 APND Server 0 sending appendEntries to 2 | nextIndex: 1, logLength: 2
2024/03/04 23:24:47 005070 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
2024/03/04 23:24:47 005072 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
2024/03/04 23:24:47 005073 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
2024/03/04 23:24:47 005074 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
2024/03/04 23:24:47 005128 CMIT Server 0 applied command 4196946803252004301 | term: 1, index: 1
2024/03/04 23:24:47 006071 APND Server 0 sending appendEntries to 1 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 006073 APND Server 0 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 006077 APND Server 0 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 006079 APND Server 0 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 006082 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 006082 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 006087 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 006093 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 006118 CMIT Server 4 applied command 4196946803252004301 | term: 1, index: 1
2024/03/04 23:24:47 006120 CMIT Server 1 applied command 4196946803252004301 | term: 1, index: 1
2024/03/04 23:24:47 006121 CMIT Server 3 applied command 4196946803252004301 | term: 1, index: 1
2024/03/04 23:24:47 006120 CMIT Server 2 applied command 4196946803252004301 | term: 1, index: 1
2024/03/04 23:24:47 007086 APND Server 0 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 007087 APND Server 0 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 007089 APND Server 0 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 007091 APND Server 0 sending appendEntries to 1 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 007093 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 007096 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 007096 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 007100 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 008088 APND Server 0 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 008091 APND Server 0 sending appendEntries to 1 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 008095 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 008095 APND Server 0 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 008097 APND Server 0 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 008100 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 008103 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 008105 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 009091 APND Server 0 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 009094 APND Server 0 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 009095 APND Server 0 sending appendEntries to 1 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 009097 APND Server 0 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 009098 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 009099 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 009101 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 009102 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 010097 APND Server 0 sending appendEntries to 1 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 010098 APND Server 0 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 010100 APND Server 0 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 010102 APND Server 0 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 23:24:47 010102 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 010104 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 010105 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:47 010108 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:48 011100 APND Server 0 sending appendEntries to 3 | nextIndex: 2, logLength: 2
2024/03/04 23:24:48 011102 APND Server 0 sending appendEntries to 1 | nextIndex: 2, logLength: 2
2024/03/04 23:24:48 011104 APND Server 0 sending appendEntries to 4 | nextIndex: 2, logLength: 2
2024/03/04 23:24:48 011105 APND Server 0 sending appendEntries to 2 | nextIndex: 2, logLength: 2
2024/03/04 23:24:48 011106 APND Server 1 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:48 011107 APND Server 3 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:48 011109 APND Server 4 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:48 011110 APND Server 2 received appendEntries | term: 1, leaderId: 0, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
2024/03/04 23:24:48 011459 XXXXXXXX BREAKPOINT 1, servers: 0 1
2024/03/04 23:24:48 011459 LOG1 Server 0 received command 3982560887525776961 | term: 1, index: 2
2024/03/04 23:24:48 011461 LOG1 Server 0 received command 5507626386724395867 | term: 1, index: 3
2024/03/04 23:24:48 011462 LOG1 Server 0 received command 4195527386626014797 | term: 1, index: 4
2024/03/04 23:24:48 011464 LOG1 Server 0 received command 7451471704023574312 | term: 1, index: 5
2024/03/04 23:24:48 011465 LOG1 Server 0 received command 5262521361735637723 | term: 1, index: 6
2024/03/04 23:24:48 011466 LOG1 Server 0 received command 4073213173926701820 | term: 1, index: 7
2024/03/04 23:24:48 011468 LOG1 Server 0 received command 5423367643061127804 | term: 1, index: 8
2024/03/04 23:24:48 011470 LOG1 Server 0 received command 379668067939615130 | term: 1, index: 9
2024/03/04 23:24:48 011471 LOG1 Server 0 received command 8947683760914963417 | term: 1, index: 10
2024/03/04 23:24:48 011474 LOG1 Server 0 received command 7463965844941114789 | term: 1, index: 11
2024/03/04 23:24:48 011476 LOG1 Server 0 received command 2218018464475300558 | term: 1, index: 12
