Test (2B): basic agreement ...
000000 VOTE Server 2 started election for term 1
000027 VOTE Server 0 received requestVote | term: 1, candidateId: 2, lastLogIndex: 0, lastLogTerm: 0
000028 VOTE Server 1 received requestVote | term: 1, candidateId: 2, lastLogIndex: 0, lastLogTerm: 0
000029 INFO Server 0 demoted to follower
000030 INFO Server 1 demoted to follower
000030 VOTE Server 0 voted for 2
000030 VOTE Server 1 voted for 2
000042 INFO Server 2 promoted to leader
000044 APND Server 2 sending appendEntries to 1 | nextIndex: 1, logLength: 1
000045 APND Server 2 sending appendEntries to 0 | nextIndex: 1, logLength: 1
000067 APND Server 1 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000067 APND Server 0 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000398 LOG1 Server 2 received command 100 | term: 1, index: 1
001848 APND Server 2 sending appendEntries to 0 | nextIndex: 1, logLength: 2
001853 APND Server 2 sending appendEntries to 1 | nextIndex: 1, logLength: 2
001860 APND Server 0 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
001861 APND Server 1 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 1
003854 APND Server 2 sending appendEntries to 1 | nextIndex: 2, logLength: 2
003858 APND Server 2 sending appendEntries to 0 | nextIndex: 2, logLength: 2
003870 APND Server 1 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
003881 APND Server 0 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 0
004137 LOG1 Server 2 received command 200 | term: 1, index: 2
005856 APND Server 2 sending appendEntries to 1 | nextIndex: 2, logLength: 3
005863 APND Server 2 sending appendEntries to 0 | nextIndex: 2, logLength: 3
005873 APND Server 1 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 1
005878 APND Server 0 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 1, prevLogTerm: 1, leaderCommit: 1, entries: 1
007862 APND Server 2 sending appendEntries to 0 | nextIndex: 3, logLength: 3
007868 APND Server 2 sending appendEntries to 1 | nextIndex: 3, logLength: 3
007881 APND Server 0 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 2, prevLogTerm: 1, leaderCommit: 2, entries: 0
007885 APND Server 1 received appendEntries | term: 1, leaderId: 2, prevLogIndex: 2, prevLogTerm: 1, leaderCommit: 2, entries: 0
008094 LOG1 Server 2 received command 300 | term: 1, index: 3
009864 APND Server 2 sending appendEntries to 1 | nextIndex: 3, logLength: 4
