Test (2B): leader backs up quickly over incorrect follower logs ...
000000 VOTE Server 1 started election for term 1
000014 VOTE Server 0 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
000015 INFO Server 0 demoted to follower
000015 VOTE Server 0 voted for 1
000016 VOTE Server 2 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
000016 INFO Server 2 demoted to follower
000016 VOTE Server 2 voted for 1
000018 VOTE Server 3 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
000018 INFO Server 3 demoted to follower
000018 VOTE Server 3 voted for 1
000020 VOTE Server 4 received requestVote | term: 1, candidateId: 1, lastLogIndex: 0, lastLogTerm: 0
000021 INFO Server 4 demoted to follower
000021 VOTE Server 4 voted for 1
000024 INFO Server 1 promoted to leader
000024 APND Server 1 sending appendEntries to 4 | nextIndex: 1, logLength: 1
000026 APND Server 1 sending appendEntries to 2 | nextIndex: 1, logLength: 1
000027 APND Server 1 sending appendEntries to 3 | nextIndex: 1, logLength: 1
000029 APND Server 1 sending appendEntries to 0 | nextIndex: 1, logLength: 1
000035 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000036 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000036 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000041 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000291 APND Server 1 sending appendEntries to 2 | nextIndex: 1, logLength: 1
000295 APND Server 1 sending appendEntries to 3 | nextIndex: 1, logLength: 1
000298 APND Server 1 sending appendEntries to 0 | nextIndex: 1, logLength: 1
000301 APND Server 1 sending appendEntries to 4 | nextIndex: 1, logLength: 1
000301 APND Server 2 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000308 APND Server 3 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000308 APND Server 0 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000312 APND Server 4 received appendEntries | term: 1, leaderId: 1, prevLogIndex: 0, prevLogTerm: 0, leaderCommit: 0, entries: 0
000343 LOG1 Server 1 received command 4188118930640820438 | term: 1, index: 1
001302 APND Server 1 sending appendEntries to 3 | nextIndex: 1, logLength: 2
001309 APND Server 1 sending appendEntries to 2 | nextIndex: 1, logLength: 2
